epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,248.753,1.50251,2.81094,1.77911,1.3937,0,0.80659,0.6678,0.78206,0.55391,0.80659,0.6678,0.78206,0.53772,1.09702,2.11006,1.66522,1.24853,0,0.000775822,0.000775822,0.000775822
29,256.226,1.40071,2.54819,1.65579,1.3297,0,0.70733,0.70465,0.79585,0.55364,0.70733,0.70465,0.79381,0.54471,1.09525,2.09198,1.57244,1.24142,0,0.000742815,0.000742815,0.000742815
30,263.537,1.37529,2.6241,1.63321,1.2921,0,0.81333,0.69048,0.80652,0.55571,0.81333,0.69048,0.80652,0.54089,1.05007,2.04916,1.56187,1.20137,0,0.000709809,0.000709809,0.000709809
31,270.856,1.40062,2.63063,1.75386,1.34196,0,0.88088,0.68813,0.78896,0.54157,0.7935,0.61739,0.67134,0.49157,1.03999,2.11395,1.53189,1.18419,0,0.000676802,0.000676802,0.000676802
32,278.202,1.26473,2.5865,1.6509,1.28754,0,0.871,0.6501,0.81692,0.58259,0.77594,0.57914,0.68586,0.47598,1.03057,2.20039,1.4802,1.19537,0,0.000643795,0.000643795,0.000643795
33,285.384,1.33184,2.64045,1.65702,1.30334,0,0.8718,0.61669,0.81621,0.5496,0.77756,0.54762,0.71408,0.47535,1.047,2.29079,1.4869,1.19698,0,0.000610789,0.000610789,0.000610789
34,292.758,1.36638,2.65882,1.67552,1.31844,0,0.87501,0.63665,0.85632,0.59439,0.77722,0.56564,0.74096,0.48064,1.11623,2.31552,1.38813,1.23988,0,0.000577782,0.000577782,0.000577782
35,300.285,1.29976,2.71156,1.5793,1.27989,0,0.80318,0.76704,0.86563,0.60561,0.73239,0.69561,0.74674,0.48744,1.14211,2.16109,1.30823,1.23859,0,0.000544776,0.000544776,0.000544776
36,307.776,1.29942,2.62171,1.62407,1.27086,0,0.89962,0.78524,0.88313,0.62448,0.8304,0.71412,0.77994,0.47695,1.14001,2.03767,1.28795,1.17623,0,0.000511769,0.000511769,0.000511769
37,316.072,1.37507,2.56922,1.56381,1.25555,0,0.9597,0.7619,0.87625,0.65179,0.9597,0.7619,0.87625,0.51171,1.09378,1.99658,1.21969,1.1561,0,0.000478762,0.000478762,0.000478762
38,323.401,1.34535,2.62461,1.58873,1.26327,0,0.96832,0.7619,0.86944,0.65248,0.88593,0.69048,0.75583,0.48455,1.08055,1.99999,1.21705,1.1645,0,0.000445756,0.000445756,0.000445756
39,330.208,1.38765,2.63665,1.63352,1.33149,0,0.94622,0.7619,0.86944,0.6527,0.84143,0.69048,0.74417,0.47449,0.99338,1.95786,1.26794,1.13099,0,0.000412749,0.000412749,0.000412749
40,337.513,1.29727,2.62255,1.58532,1.24839,0,0.95487,0.65418,0.854,0.63497,0.80948,0.60173,0.75282,0.47904,0.99198,1.93314,1.38303,1.13111,0,0.000379743,0.000379743,0.000379743
41,345.168,1.32487,2.48441,1.77756,1.23711,0,0.96792,0.61905,0.85087,0.60971,0.96792,0.61905,0.85087,0.48792,1.02388,1.91066,1.41394,1.13134,0,0.000346736,0.000346736,0.000346736
42,352.816,1.48139,2.56893,2.31474,1.42021,0,0.9577,0.61905,0.85087,0.597,0.9577,0.61905,0.85087,0.50052,1.05652,1.88799,1.44437,1.13097,0,0.000313729,0.000313729,0.000313729
43,360.523,1.354,2.53775,1.85228,1.34323,0,0.9577,0.61905,0.85087,0.597,0.9577,0.61905,0.85087,0.50052,1.05652,1.88799,1.44437,1.13097,0,0.000280723,0.000280723,0.000280723
44,368.364,1.32526,2.4393,1.69044,1.27438,0,0.95531,0.61354,0.83483,0.53163,0.95531,0.61354,0.84171,0.4753,1.07296,1.89459,1.47547,1.14669,0,0.000247716,0.000247716,0.000247716
45,375.689,1.30069,2.53425,1.72941,1.24702,0,0.94417,0.61195,0.82083,0.53142,0.83141,0.54373,0.78929,0.47291,1.07479,1.91479,1.47469,1.1485,0,0.00021471,0.00021471,0.00021471
46,382.904,1.30297,2.66122,1.81339,1.27383,0,0.95115,0.60837,0.82667,0.52689,0.83558,0.54087,0.78238,0.46142,1.08965,1.92922,1.47406,1.13791,0,0.000181703,0.000181703,0.000181703
47,390.727,1.26791,2.55849,1.85361,1.30498,0,0.95406,0.60778,0.85087,0.54717,0.83768,0.54017,0.74379,0.48742,1.08566,1.93431,1.47889,1.14217,0,0.000148696,0.000148696,0.000148696
48,398.15,1.21335,2.3914,1.69682,1.22188,0,0.96186,0.60864,0.85971,0.53358,0.50263,0.94115,0.80846,0.50918,1.08316,1.93115,1.48128,1.14258,0,0.00011569,0.00011569,0.00011569
49,405.387,1.24839,2.45819,1.76485,1.29043,0,0.95557,0.61299,0.86563,0.56478,0.83938,0.54537,0.81299,0.51946,1.07755,1.91269,1.43582,1.14179,0,8.26832e-05,8.26832e-05,8.26832e-05
50,413.137,1.29508,2.4591,1.70589,1.3017,0,0.80569,0.71294,0.86563,0.57243,0.72345,0.64338,0.77785,0.51121,1.06518,1.9204,1.43462,1.12244,0,4.96766e-05,4.96766e-05,4.96766e-05
